@relation golub-data-train-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RandomSubset-N20.0-S1_clustered

@attribute Instance_number numeric
@attribute HG3790-HT4060_at numeric
@attribute HG908-HT908_at numeric
@attribute J05614_at numeric
@attribute M20530_at numeric
@attribute M62994_at numeric
@attribute M95178_at numeric
@attribute U46571_at numeric
@attribute U70735_at numeric
@attribute U81001_at numeric
@attribute U84551_cds2_at numeric
@attribute U94320_at numeric
@attribute X02544_at numeric
@attribute X15940_at numeric
@attribute X64728_at numeric
@attribute X65614_at numeric
@attribute X74794_at numeric
@attribute HG1747-HT1764_s_at numeric
@attribute U58837_s_at numeric
@attribute V00565_s_at numeric
@attribute U83598_s_at numeric
@attribute Z78285_f_at numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,-124,345,2805,205,219,68,340,1294,808,-183,-20,-217,18441,0,248,387,183,-189,-86,-44,-14,cluster0
1,-164,637,5729,367,258,685,623,1427,601,-233,-138,-272,15841,261,366,953,459,-37,-310,94,-41,cluster0
2,-124,250,3919,42,286,362,224,969,259,-85,-17,-328,15068,183,158,1689,138,-126,19,-158,-53,cluster0
3,-49,539,5284,138,173,241,764,1516,385,-220,-39,-208,17667,266,365,1827,274,-131,29,-69,-39,cluster0
4,-148,332,2032,90,37,-43,321,1305,248,-1,-53,-340,17606,105,294,576,221,-102,44,1,7,cluster0
5,-35,283,2906,143,125,148,386,1046,823,-103,-116,-157,19222,150,248,459,149,-69,12,18,-62,cluster0
6,-110,371,2321,85,270,347,375,1129,845,-114,5,-157,18294,276,196,29,289,45,-89,314,-22,cluster0
7,-165,218,3522,207,125,303,336,1229,577,-26,-123,-214,15896,167,246,571,281,-256,155,79,36,cluster0
8,-40,288,2561,189,302,254,472,1272,460,-260,-51,-325,16669,310,365,1073,307,-198,-141,220,-37,cluster0
9,-177,179,2247,-4,293,444,449,1132,348,-209,-90,-253,19541,150,363,251,332,-23,14,-19,-91,cluster0
10,-102,454,3347,119,402,250,680,1391,477,-66,8,-175,18931,186,236,850,222,-77,-218,-70,-25,cluster0
11,-349,347,1181,194,376,90,236,984,78,-189,72,-189,21395,297,421,1023,354,-235,-262,196,-42,cluster0
12,-113,493,941,155,572,512,259,1160,308,-313,-76,-247,18736,553,466,862,248,-148,-139,167,20,cluster0
13,-107,260,833,15,215,313,179,620,218,-143,11,-126,19701,126,507,354,-4,-109,-27,0,-80,cluster0
14,-125,499,6606,191,729,295,533,912,270,-48,33,-251,15582,255,214,1221,124,17,-25,-42,-11,cluster0
15,-68,225,6214,100,689,221,544,1369,490,-129,37,23,18378,17,213,1689,74,-80,-220,32,-18,cluster0
16,-93,290,1518,192,219,187,384,1076,366,-80,-26,-147,18785,251,269,200,249,-116,-235,-127,-43,cluster0
17,-45,325,6945,94,859,376,484,2070,321,-63,-45,-382,19546,111,483,1077,590,-193,126,305,-83,cluster1
18,-67,437,4263,162,159,197,258,855,214,-53,1,-42,16727,147,247,466,213,46,-30,79,-13,cluster0
19,-73,334,1878,64,655,-89,424,990,265,-6,-57,-114,17932,189,145,352,208,-16,-139,82,-24,cluster0
20,-148,452,1969,187,1438,15,952,1899,793,19,4,-109,15909,-225,193,71,154,44,-326,44,-16,cluster0
21,-168,234,-66,19,224,17,66,443,453,-9,17,-321,25949,-67,49,94,103,33,53,68,-22,cluster0
22,-94,448,959,2,75,226,304,579,389,-160,-31,-359,18280,272,68,52,217,19,-270,-22,-27,cluster0
23,-94,142,3144,220,410,355,486,915,715,-116,20,-185,18692,-196,288,304,216,145,-228,45,-94,cluster0
24,-55,474,1387,118,247,256,338,1164,555,-115,-44,-130,19645,170,172,491,227,-24,-157,47,-41,cluster0
25,-128,260,923,111,338,252,357,1227,251,-84,21,-195,17015,296,104,633,221,8,-63,52,-19,cluster0
26,-317,480,1905,206,228,-100,211,1060,226,-6,-134,-496,19876,101,478,738,316,-248,-247,148,10,cluster0
27,-150,429,306,384,189,458,414,862,224,-62,-71,-172,19830,-6,210,-515,215,32,-162,93,-65,cluster0
28,-98,182,875,105,221,129,216,649,113,28,0,-250,21788,214,226,918,346,-134,-197,19,-67,cluster0
29,-152,832,2522,214,274,905,564,62,287,-73,-50,-245,15531,285,875,416,442,-149,-198,172,23,cluster2
30,-328,717,2816,110,88,719,564,1066,8,-10,-131,-233,19072,150,379,-51,364,24,-421,-21,-33,cluster0
31,-152,588,4317,65,189,258,621,941,406,-245,-20,-87,20307,72,225,1568,197,-89,-577,-52,0,cluster0
32,-70,536,2775,235,279,664,473,1136,304,-133,-20,-279,17679,269,304,523,429,-119,-434,-68,-46,cluster0
33,-51,230,3515,83,3,419,322,588,131,5,-25,-78,20807,-9,177,238,162,-83,-178,155,-2,cluster0
34,-186,294,689,266,294,751,724,1349,258,-2,-29,-245,18204,-306,267,374,213,-167,-34,-114,-31,cluster0
35,-147,364,2150,77,272,636,258,1073,-124,-125,-94,-413,18346,128,330,434,330,-51,-53,129,-32,cluster0
36,-174,284,382,101,428,1012,454,1220,491,-185,-13,-470,18034,61,379,-513,233,1,-419,24,-3,cluster0
37,-191,998,1859,35,330,382,342,863,371,-178,27,-459,19910,176,794,455,578,-145,-404,-1,-10,cluster0
